department,1976_gdp1790000000000.0,1977_gdp2028000000000.0,1978_gdp2278000000000.0,1979_gdp2570000000000.0,1980_gdp2797000000000.0,1981_gdp3138000000000.0,1982_gdp3314000000000.0,1983_gdp3541000000000.0,1984_gdp3953000000000.0,1985_gdp4270000000000.0,1986_gdp4536000000000.0,1987_gdp4782000000000.0,1988_gdp5155000000000.0,1989_gdp5570000000000.0,1990_gdp5915000000000.0,1991_gdp6110000000000.0,1992_gdp6435000000000.0,1993_gdp6795000000000.0,1994_gdp7198000000000.0,1995_gdp7583000000000.0,1996_gdp7978000000000.0,1997_gdp8483000000000.0,1998_gdp8955000000000.0,1999_gdp9511000000000.0,2000_gdp10148000000000.0,2001_gdp10565000000000.0,2002_gdp10877000000000.0,2003_gdp11332000000000.0,2004_gdp12089000000000.0,2005_gdp12889000000000.0,2006_gdp13685000000000.0,2007_gdp14323000000000.0,2008_gdp14752000000000.0,2009_gdp14415000000000.0,2010_gdp14799000000000.0,2011_gdp15379000000000.0,2012_gdp16027000000000.0,2013_gdp16516000000000.0,2014_gdp17244000000000.0,2015_gdp17983000000000.0,2016_gdp18470000000000.0,2017_gdp19177000000000.0
DHS,,,,,,,,,,,,,,,,,,,,,,,,,,,360000000,979000000,1333000000,1559000000,1583000000,1181000000,1155000000,1258000000,1009000000,848000000,527000000,737000000,1092000000,960000000,602000000,735000000
DOC,819000000,837000000,871000000,952000000,945000000,829000000,693000000,700000000,755000000,789000000,778000000,804000000,764000000,766000000,784000000,898000000,952000000,1265000000,1595000000,1709000000,1488000000,1421000000,1589000000,1559000000,1654000000,1417000000,1661000000,1591000000,1452000000,1410000000,1293000000,1271000000,1379000000,1594000000,1521000000,1357000000,1373000000,1397000000,1641000000,1596000000,1730000000,1824000000
DOD,35696000000,37967000000,37022000000,37174000000,37005000000,41737000000,46893000000,51008000000,58139000000,64416000000,68931000000,71541000000,71145000000,69231000000,65589000000,62238000000,61682000000,61956000000,55423000000,54026000000,53688000000,54903000000,54716000000,55927000000,56297000000,58807000000,67534000000,78782000000,85503000000,88331000000,90443000000,93645000000,94247000000,93527000000,94325000000,88220000000,81543000000,70583000000,70341000000,69522000000,75213000000,51862000000
DOE,10882000000,13741000000,15663000000,15612000000,15226000000,14798000000,12160000000,11129000000,11731000000,12043000000,10911000000,10446000000,10863000000,11225000000,12103000000,12275000000,13280000000,11872000000,10568000000,9806000000,9412000000,9167000000,9250000000,10019000000,9800000000,10640000000,10938000000,11232000000,11296000000,10835000000,10451000000,10709000000,11343000000,11823000000,12329000000,11902000000,11839000000,11528000000,12686000000,15033000000,15504000000,15032000000
DOT,1142000000,1095000000,1156000000,1004000000,1048000000,978000000,702000000,800000000,1018000000,885000000,746000000,595000000,587000000,586000000,613000000,688000000,1014000000,990000000,1000000000,1018000000,902000000,902000000,859000000,873000000,855000000,989000000,1053000000,929000000,862000000,888000000,995000000,909000000,1016000000,1062000000,1221000000,1064000000,1007000000,881000000,843000000,926000000,910000000,936000000
EPA,968000000,966000000,1175000000,1102000000,903000000,901000000,641000000,501000000,518000000,615000000,637000000,664000000,698000000,713000000,735000000,768000000,804000000,792000000,918000000,847000000,724000000,877000000,928000000,962000000,786000000,789000000,801000000,753000000,858000000,806000000,757000000,660000000,636000000,646000000,679000000,649000000,622000000,570000000,569000000,544000000,530000000,506000000
HHS,9226000000,9507000000,10533000000,10127000000,10045000000,9644000000,8860000000,9418000000,10145000000,11083000000,11133000000,12847000000,13470000000,14291000000,14779000000,16001000000,16621000000,16702000000,17674000000,17602000000,18054000000,19037000000,20160000000,22759000000,25616000000,28956000000,32518000000,36797000000,36977000000,36669000000,35276000000,35108000000,33964000000,35649000000,36134000000,34773000000,34360000000,32095000000,32438000000,31537000000,33121000000,34758000000
Interior,1152000000,1082000000,1125000000,1176000000,1082000000,990000000,866000000,835000000,757000000,783000000,755000000,786000000,794000000,861000000,919000000,1037000000,1050000000,1035000000,1104000000,1021000000,857000000,872000000,780000000,718000000,871000000,855000000,844000000,855000000,813000000,781000000,779000000,767000000,794000000,805000000,883000000,844000000,898000000,846000000,889000000,903000000,1005000000,955000000
NASA,12513000000,12553000000,12516000000,13079000000,13837000000,13276000000,10322000000,5893000000,6231000000,7174000000,7343000000,8346000000,8746000000,10623000000,12317000000,13589000000,13950000000,14058000000,14680000000,14457000000,14152000000,13788000000,14201000000,13975000000,13376000000,13604000000,13844000000,14191000000,14007000000,13347000000,13750000000,13727000000,12985000000,10087000000,10538000000,10147000000,12391000000,11845000000,12432000000,11927000000,13713000000,12361000000
NIH,8025000000,8214000000,8802000000,9243000000,9093000000,8580000000,8314000000,8733000000,9620000000,10606000000,10659000000,12335000000,12909000000,13550000000,14042000000,15016000000,15714000000,15774000000,16347000000,16448000000,17141000000,18013000000,19093000000,21566000000,24281000000,27253000000,30755000000,35073000000,35327000000,35039000000,33780000000,33602000000,33130000000,34150000000,34348000000,33265000000,32865000000,30522000000,30938000000,30046000000,31675000000,33052000000
